p,x,y,z
0,8.8552,-1.7480,0.0000
1,12.5146,-1.4483,0.0000
2,27.5812,-3.3164,0.0000
3,32.4004,-2.5448,0.0000
4,19.7378,0.0345,0.0000
5,2.5415,0.6207,0.0000
6,3.8638,1.1379,0.0000
7,2.1878,-0.5517,0.0000
8,3.4106,-0.8966,0.0000
9,1.9140,-1.1035,0.0000
10,1.9673,1.2759,0.0000
11,2.9912,-1.4483,0.0000
12,3.0588,1.1379,0.0000
13,3.0588,1.3793,0.0000
14,2.0760,-1.2759,0.0000
15,1.7585,-1.1035,0.0000
16,5.4476,-0.8621,0.0000
17,2.7934,-1.3103,0.0000
18,2.3025,1.1724,0.0000
19,3.0588,1.1035,0.0000
